,source_id,bp_rp,phot_g_mean_mag,parallax,teff_val,lum_val
2219,2.0111506357280916e+18,-0.16109514,4.816549,5.6852049409605865,8854.333,
2220,3.216893434843528e+18,0.55580044,7.704268499999999,7.968762122269362,6766.5,9.519097
2221,2.2257739954986803e+18,2.3571148,9.146716,1.3163081407694608,3717.09,190.41493
2222,3.150673491635903e+18,0.77630615,10.815886,4.665256411135156,5882.5,1.6040788
2223,2.2103812493271148e+18,1.3635988,10.568701,1.0689095434897038,4704.3364,46.062088
2224,3.104668413303476e+18,0.63437366,10.074781,1.8483044861141784,6392.825,19.941652
2225,5.377965332918207e+17,0.35315228,10.447229,0.9148979156047238,7859.0,60.34356
2226,2.485413779430779e+17,0.22148037,8.566208999999999,3.6521531796695386,8286.0,
2227,5.658092377070446e+17,0.6908493,10.480252,3.3375956469105184,6125.1665,4.230359
2228,5.677408734781687e+17,0.64015484,9.508848,6.805822644501991,6376.5,2.4773927
2229,2.2315611074520673e+18,1.1073799,11.298297,2.654757964290495,5010.465,3.520204
2230,2.2823564787720456e+18,0.9237261,11.597365,2.098343369805232,5330.0664,4.0502753
2231,1.8652201539581975e+18,1.5007906000000002,11.192077,10.925022071754906,4391.665,0.27968368
2232,3.1198987753516493e+18,0.6307454,7.603741599999998,9.060024894663416,6400.0,8.080432
2233,9.05501465321223e+17,0.6938286,9.870217,5.14457695080191,6179.6665,3.1185877
2234,1.9895693184190152e+18,0.13880062,11.227238,0.8129721176124172,9132.0,
2235,1.9437776484199987e+18,1.3855429,11.960688,8.861944064733391,4653.62,0.18902877
2236,1.945398324261707e+18,0.42976475,11.1262045,1.3916393996780234,7148.8335,13.436626
2237,1.9439769005426048e+18,0.48858643,9.87782,2.6087012370995613,6990.8447,12.032297
2238,1.9442022317073405e+18,1.4855232,13.472342499999998,4.380969451602047,4454.0,0.2072324
2239,1.3563007860330404e+18,1.0998591999999998,10.767495,8.829252580445294,5034.8823,0.5162635
2240,4.554538489257447e+18,0.60328484,9.013822,5.5533462661739055,6660.616999999998,5.864071400000001
2241,2.211330093502996e+18,1.3030205,12.91018,4.388037901281795,5002.75,0.29244244
2242,2.2117965269510257e+18,2.2853603,13.9301405,9.517875570587154,3559.25,0.049830787
2243,2.208837461981821e+18,0.7123251,10.276314,0.9926441353993772,6054.0,57.83194
2244,2.2077114632973363e+18,0.9187789,8.045297999999999,1.1639068609299894,5408.0,343.53073
2245,2.0279154393054295e+18,1.077404,6.224248,6.070403794384433,5069.0,71.22043000000002
2246,2.801393247745417e+18,0.9503355,10.401473,2.330401376968565,5345.0,9.859962
2247,2.802326217721337e+18,0.8577347,9.374613,7.180399005896282,5650.0,2.5915282000000004
2248,3.3379386699457756e+18,2.3635235,14.02969,7.90952114083746,3461.0,0.07107947
2249,1.835972766713413e+18,0.22498035,9.688941,1.8478608877583191,8090.9,
2250,3.2960180711495255e+18,0.93774414,9.69357,4.336092270057367,5418.04,5.417316400000002
2251,3.4050823747196744e+18,3.113987,14.181833,20.816994255060944,3667.0,
2252,1.1426289762613427e+17,1.3709984,9.228313,2.2347831532528657,4526.7197,38.54446400000001
2253,1.2694380574769946e+17,1.0405607,9.846335,2.9683438280794388,5172.468,10.39842
2254,3.549607749352021e+18,0.62895966,8.214376,9.53248700189362,6432.6,4.15817
2255,3.537110833333562e+18,0.8550806000000001,10.204605,7.541778079884253,5638.61,1.0947104
2256,3.5020278954877133e+18,0.28124762,7.9501834,2.9104572250113865,7921.0,59.817387
2257,5.305787063162968e+18,1.1143513,10.844917,7.3521229313300065,4947.675,0.70663977
2258,5.307153721751883e+18,0.21586514,10.201101,0.8262209514795281,8574.333,
2259,3.869174245575123e+17,0.22090816,7.782438000000001,6.294266138104204,8062.6665,
2260,6.779906425665072e+18,0.68509007,9.425114,6.966631881501912,6143.95,2.5646992
2261,1.1111051231941679e+18,1.2497425,13.101563,3.1248454295597576,4967.9927,0.48718414
2262,1.1367597531269622e+18,1.2219591,10.806982,8.458166609177411,4819.5,0.57104206
2263,1.6575934634018609e+18,0.6906681,9.513858,6.840617217387235,6105.6333,2.4538662
2264,1.6098951715197952e+18,0.6712227,11.790315,1.233147520522806,6370.0,9.22935
2265,1.60918581472167e+18,0.78091526,11.661608,2.0892151326367747,6103.75,3.6391418
2266,1.609496147582257e+18,1.36337,10.949566,13.859093112531035,4685.2829999999985,0.19410956
2267,1.6518614687679544e+18,0.24860859,9.170784,3.036529366827738,8088.0,
2268,1.651482068538045e+18,0.7020359,11.630306,1.5404052916171769,6300.0,6.860268
2269,5.308011443900113e+18,0.57513905,8.662099000000001,1.7124113526918416,6884.0,85.41924
2270,6.015406267073799e+18,0.98823357,11.0327835,5.898299095904942,5341.5,0.8609110999999999
2271,6.012294683529948e+18,0.83958054,9.41431,5.3609245101960665,5722.967,4.4583926
2272,2.985246057361235e+18,-0.094839096,6.589727000000001,3.4919293220571364,8604.75,
2273,4.251081706817706e+17,0.29109287,10.552544,0.5349418382767276,8536.0,
2274,4.244171276242186e+17,0.7130089,11.949138,0.9687764276263116,6313.0,12.92845
2275,4.2685714578402854e+17,3.327899,6.518936599999999,1.2241487350210858,3305.3333,3428.8882
2276,4.574647706617353e+17,0.18669987,7.880034399999999,1.3001062784515642,8495.667,
2277,1.584035860625278e+18,0.94692993,8.983846,9.477782908868999,5401.8,2.1841848
2278,1.272930282497618e+18,0.9078493,10.01325,2.4928913773240757,5400.6665,12.234693
2279,1.2243603184133417e+18,0.77949524,12.547864,2.1734202940937943,5944.0,1.4950768
2280,3.661573436742707e+16,0.90193176,7.484190499999999,8.40974598130005,5555.0,10.86355
2281,6.544604168450471e+18,0.55409336,10.625127,2.391803334867169,6913.85,7.18267
2282,5.357126834477758e+18,0.7650279999999999,10.956678,4.758312815268433,5871.0674,1.3551958999999998
