angDist,_RAJ2000,_DEJ2000,GCVS,Class1,u_Class1,LCType,u_LCType,magMax,A1,A2,Fltr,Per,f_Per,SpType,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.270339,49.7558333,32.6877778,V0600 Per,,,EB,,7.62,0.44,,V,,,,Simbad,49.75583,32.68778,49.7559174939904,32.6878026598569,0.003,0.002,90,125195242958705408,49.75588023736,0.1034,32.68777856360,0.0641,1.9042,0.1149,-7.283,0.174,-5.597,0.135,0,1.44650e+07,1.26630e+05,7.787572,9.10605e+06,2.34298e+05,7.953063,7.62249e+06,1.74567e+05,7.556678,0.396385,,,0,7362.60,1.1447,0.5878,7.69,156.449
0.394201,34.7566667,57.1219444,V0615 Per,,,EA,,12.98,0.42,,V,,,,Simbad,34.75667,57.12194,34.7568683093540,57.1219479035497,0.001,0.001,0,458374685257548416,34.75686424914,0.0217,57.12194278823,0.0301,0.4390,0.0398,-0.512,0.067,-1.188,0.079,0,1.25498e+05,9.90722e+01,12.941776,7.48697e+04,2.34778e+02,13.165623,7.66454e+04,3.31082e+02,12.550705,0.614918,,,0,6957.00,,,3.46,25.258
0.624984,34.7675,57.1619444,V0616 Per,,,EW,,16.4,0.9,,V,,,,Simbad,34.7675,57.16194,34.7677209242312,57.1620700476441,0.003,0.002,90,458377777633945728,34.76776042147,0.0449,57.16206123994,0.0510,0.5042,0.0698,4.974,0.168,-2.046,0.134,0,5.37179e+03,6.46614e+01,16.363070,2.15564e+03,8.55240e+01,17.017445,4.94022e+03,2.20953e+02,15.527555,1.489889,,,0,4407.03,2.5155,1.2550,1.81,1.114
0.325176,34.7991667,57.1113889,V0618 Per,,,EA,,14.6,0.53,,V,,,,Simbad,34.79917,57.11139,34.7993252600075,57.1113615905897,0.001,0.001,0,458374410379649920,34.79932128668,0.0187,57.11135650424,0.0273,0.4265,0.0352,-0.501,0.058,-1.181,0.076,0,3.03309e+04,9.21229e+00,14.483652,1.61187e+04,3.19357e+01,14.833060,2.12402e+04,3.66463e+01,13.944023,0.889037,,,0,5447.18,0.6555,0.4825,2.92,6.771
0.435537,35.5370833,57.1236111,V0620 Per,,,EA,,12.0,0.28,,B,,,,Simbad,35.53708,57.12361,35.5373022014544,57.1235883595431,0.017,0.016,0,458407601884424576,35.53731274146,0.3917,57.12357472703,0.4394,3.1479,0.5248,1.329,1.034,-3.166,1.068,0,3.19148e+05,5.03511e+02,11.928386,2.07936e+05,2.05716e+03,12.056565,1.87238e+05,1.50067e+03,11.580936,0.475629,,,0,7134.00,0.0260,0.0118,0.73,1.254
0.310874,35.5404167,57.1172222,V0621 Per,,,EA,,9.5,0.12,,B,,,,Simbad,35.54042,57.11722,35.5404581259587,57.1173055735510,0.002,0.002,90,458407601884432384,35.54045645575,0.0285,57.11730213864,0.0368,0.2957,0.0483,-0.211,0.111,-0.798,0.099,0,3.55136e+06,1.41940e+03,9.312378,2.23633e+06,2.33190e+03,9.477548,1.94526e+06,2.59372e+03,9.039478,0.438069,,,0,7301.75,,,24.91,1588.987
0.234364,54.115,36.3741667,V0674 Per,,,EW,:,16.9,0.09,,B,,,,Simbad,54.115,36.37417,54.1150134245080,36.3741025024442,0.002,0.001,90,221661338001278592,54.11505876166,0.0441,36.37407985659,0.0305,0.9128,0.0587,8.478,0.124,-5.260,0.079,0,7.76795e+03,9.63063e+00,15.962600,3.04918e+03,1.40607e+01,16.640930,6.92295e+03,2.24872e+01,15.161192,1.479738,,,0,4792.00,1.3512,0.6767,0.95,0.428
0.504981,47.0420833,40.9555556,bet   Per,S,,EA,,2.12,1.27,,V,2.8673,,B8V,Simbad,47.04208,40.95556,47.0422279727219,40.9556435702219,0.010,0.001,0,239863001382455424,47.04222797272,0.5512,40.95564357022,9.9666,,,,,,,0,3.46101e+08,4.06489e+07,4.340358,1.41183e+08,6.95848e+07,4.976932,7.33215e+08,1.10744e+08,2.598841,2.378091,,,0,4388.20,,,,
0.198168,46.1991667,53.5063889,gam   Per,DG,,EA,,3.63,0.55,,B,,,,Simbad,46.19917,53.50639,46.1991773054645,53.5064435841791,0.030,0.028,90,447071293394610816,46.19914338806,0.8618,53.50642213553,0.7467,22.2576,1.0641,-4.685,1.954,-4.982,1.812,1,1.82193e+09,2.10542e+07,2.537037,5.93066e+08,1.79400e+07,3.418631,8.77777e+08,2.42439e+07,2.403460,1.015171,,,0,4732.67,,,,
0.308787,43.5645833,52.7625,tau   Per,,,EA,,3.94,0.13,,V,,,,Simbad,43.56458,52.7625,43.5644517093782,52.7624681162437,0.010,0.009,90,441161693272720640,43.56443127133,0.2364,52.76245632311,0.2548,15.7163,0.3150,-2.872,0.646,-2.739,0.606,1,6.97817e+08,4.59466e+06,3.579012,3.01589e+08,2.14331e+06,4.152849,4.29157e+08,8.76724e+05,3.180381,0.972469,8.59,3.28,4,5626.00,,,11.18,112.778
