angDist,_RAJ2000,_DEJ2000,GCVS,Per,SpType,M1,e_M1,M2,e_M2,R1,e_R1,R2,e_R2,T1,e_T1,T2,e_T2,logL1,e_logL1,logL2,e_logL2,a,e_a,BibCode,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000199,102.6651997,21.3655444,AF Gem,1.2435,B9V+GIV,3.37,,1.155,,2.61,,2.32,,10340,,5800,,1.84,,0.74,,8.05,,2004yCat.5115....0S,Simbad,102.6652,21.36554,102.6651997441191,21.3655443631166,0.001,0.001,90,3378297756072107392,102.66519535500,0.0479,21.36552519650,0.0434,0.9701,0.0471,-0.949,0.092,-4.452,0.080,0,1.00475e+06,1.02211e+04,10.683221,7.04910e+05,1.44845e+04,10.731054,4.69186e+05,1.17094e+04,10.583557,0.147497,,,0,9090.00,0.4767,0.2510,,
0.000520,268.5327253,16.9438453,UX Her,1.5488479,A3V+KIV,2.42,0.12,0.44,0.06,1.84,0.05,1.96,0.05,8770,,4478,5,1.23,0.04,0.12,0.04,8.0,0.09,2016AJ....152...33Z,Simbad,268.53273,16.94385,268.5327253047682,16.9438451555858,0.001,0.001,0,4502802210861958272,268.53262453067,0.0304,16.94391962077,0.0353,3.9605,0.0373,-22.390,0.068,17.295,0.071,1,5.44813e+06,1.03443e+04,8.847747,3.68632e+06,1.58900e+04,8.934907,2.60981e+06,1.92569e+04,8.720396,0.214511,,,0,8060.00,0.4985,0.2468,,
0.000519,282.50125,20.7212528,AD Her,9.76657,A4V+K2,1.79,,0.59,,2.18,,6.54,,8350,,4210,,1.32,,1.08,,25.66,,2004yCat.5115....0S,Simbad,282.50125,20.72125,282.5012501188560,20.7212527080386,0.001,0.001,0,4530807837182604800,282.50124246239,0.0174,20.72121609964,0.0231,1.7107,0.0284,-1.663,0.043,-8.503,0.052,0,2.84353e+06,5.39373e+03,9.553720,1.66772e+06,6.99766e+03,9.796081,1.69250e+06,1.38590e+04,9.190599,0.605481,,,0,6524.82,1.5780,0.7810,4.80,37.583
0.000434,246.4478014,18.8924617,u Her,2.05102617,B2.5V+B8IV,7.88,0.26,2.79,0.12,4.93,0.15,4.26,0.06,21600,220,12600,550,3.68,0.03,2.63,0.08,14.95,0.17,2014MNRAS.444.3118K,Simbad,246.4478,18.89246,246.4478015040314,18.8924617694905,0.004,0.003,0,1200834239913483392,246.44773214544,0.1054,18.89241810761,0.1056,1.7491,0.1490,-15.241,0.213,-10.141,0.227,0,2.87895e+07,5.83005e+05,7.040279,5.10425e+05,3.29067e+04,11.081559,5.64209e+07,2.01360e+06,5.383319,5.698240,,,0,3279.00,,,,
0.000483,136.4215239,-8.2610356,RX Hya,2.28160262,A2V+G5IV,2.72,,0.66,,2.17,,2.93,,8760,,4740,,1.4,,0.59,,10.94,,2004yCat.5115....0S,Simbad,136.42152,-8.26104,136.4215240104616,-8.2610355219964,0.001,0.001,90,5756165167814720512,136.42145908686,0.0372,-8.26114915530,0.0284,3.7136,0.0449,-14.923,0.080,-26.392,0.075,0,3.18144e+06,3.76379e+03,9.431808,1.97065e+06,5.87311e+03,9.614866,1.75973e+06,1.25086e+04,9.148308,0.466558,,,0,7137.05,0.9025,0.4275,1.96,8.982
0.000303,206.1556642,-26.7801047,SX Hya,2.895737,A3+[G9IV],2.05,,0.59,,2.0,,3.2,,8560,,4460,,1.28,,0.56,,11.81,,2004yCat.5115....0S,Simbad,206.15566,-26.7801,206.1556641916199,-26.7801046162382,0.001,0.001,0,6178229164451588352,206.15538602564,0.0513,-26.78016433246,0.0409,3.8579,0.0590,-57.677,0.080,-13.870,0.089,0,6.18393e+06,1.11422e+04,8.710205,3.88148e+06,1.60597e+04,8.878894,3.35725e+06,2.82584e+04,8.446962,0.431932,,,0,7251.78,0.7490,0.3887,2.55,16.231
0.000144,168.3020733,-26.4650697,TT Hya,6.9534414,B9.5V+KIII-IV,2.63,,0.6,,1.99,,5.69,,9870,,4330,,1.53,,1.01,,22.65,,2004yCat.5115....0S,Simbad,168.30207,-26.46507,168.3020733201277,-26.4650697356666,0.001,0.001,90,3532612598122182272,168.30198105748,0.0380,-26.46502505258,0.0337,5.2170,0.0494,-19.183,0.088,10.378,0.067,1,2.49512e+07,1.10497e+05,7.195638,1.61747e+07,1.45356e+05,7.329295,1.34110e+07,1.13398e+05,6.943270,0.386025,,,0,7923.25,,,3.24,37.309
0.000357,330.3780867,43.8904556,RT Lac,5.0739498,G5IV+G9IV,1.582,,0.624,,4.25,,4.8,,5100,,4960,,1.0,,1.06,,15.842,,2003A&A...405..733C,Simbad,330.37809,43.89046,330.3780865630249,43.8904556080204,0.001,0.001,90,1961028607902617216,330.37842778994,0.0243,43.89054891774,0.0264,5.4880,0.0366,57.115,0.054,21.672,0.049,0,7.16227e+06,3.32579e+04,8.550739,2.72780e+06,6.91649e+04,9.261858,5.98121e+06,7.78651e+04,7.819948,1.441910,,,0,4354.50,,,6.30,12.843
0.000375,337.6094325,54.6184569,TW Lac,3.037417,A3+[KIV],2.15,,0.56,,2.0,,3.2,,8560,,4330,,1.28,,0.51,,12.3,,2004yCat.5115....0S,Simbad,337.60943,54.61846,337.6094325234105,54.6184570032612,0.001,0.001,90,2006361437964416128,337.60943231542,0.0222,54.61844684699,0.0228,0.9761,0.0277,-0.028,0.044,-2.359,0.044,0,4.98330e+05,6.59613e+02,11.444574,3.03645e+05,4.91608e+02,11.645472,2.87584e+05,7.32202e+02,11.115007,0.530464,,,0,7056.75,,,3.02,20.328
0.000261,144.2158575,26.2326786,Y Leo,1.686102,A5V+G9IV,1.55,,0.47,,1.65,,2.07,,8150,,4460,,1.03,,0.18,,7.53,,2004yCat.5115....0S,Simbad,144.21586,26.23268,144.2158575379391,26.2326786640058,0.003,0.002,90,645963390556163456,144.21588079271,0.0821,26.23264576517,0.0883,2.4887,0.1139,4.845,0.165,-7.641,0.145,0,1.86256e+06,4.05336e+03,10.013088,1.20032e+06,5.12555e+03,10.153141,9.70058e+05,8.06723e+03,9.794926,0.358215,,,0,7614.68,0.6580,0.3185,1.99,11.943
0.000466,147.1186058,33.2887736,T LMi,3.019885,A3V+G7IV,2.33,,0.3,,1.98,,2.41,,8540,,4640,,1.27,,0.38,,12.13,,2004yCat.5115....0S,Simbad,147.11861,33.28877,147.1186058475562,33.2887737233016,0.002,0.002,0,793600868428166912,147.11860308170,0.0560,33.28874654398,0.0548,1.1438,0.0831,-0.537,0.128,-6.313,0.137,0,8.85534e+05,2.22092e+03,10.820353,6.00807e+05,2.90843e+03,10.904551,4.29820e+05,2.31979e+03,10.678704,0.225846,,,0,8266.50,0.5082,0.2535,,
0.000305,237.2710814,-15.5357517,SS Lib,1.4379983,A5+[F5],1.9,,1.2,,1.95,,2.58,,8150,,6460,,1.18,,1.02,,7.81,,2004yCat.5115....0S,Simbad,237.27108,-15.53575,237.2710813258854,-15.5357517454811,0.001,0.001,90,6261900040823123584,237.27105843893,0.0400,-15.53578412807,0.0178,1.9589,0.0429,-5.121,0.078,-7.521,0.048,0,1.35701e+06,5.05202e+03,10.356911,7.97502e+05,1.36375e+04,10.597059,7.96491e+05,9.96657e+03,10.008967,0.588092,,,0,6463.97,,,2.95,13.682
